"リリースノートの版","区分","種別","機能・変更項目","最新版にも存在する機能か否か","現存判定の補足","note下書きに既に説明が含まれているか","note下書きの該当箇所","未記載・一部記載時の説明推奨度_1to5","推奨理由","noteへの追記案"
"v2.6.0","PoE1","機能","Alt+Dでアイテムを読み取り公式Trade価格を検索","はい","操作モードの初期ホットキーとして継続","済","まずは価格を検索してみる／操作モード","","",""
"v2.6.0","PoE1","機能","公式Tradeの出品価格・中央値・検索条件を表示","はい","現在も出品一覧・件数・中央値・条件編集を提供","一部","公式Tradeの出品価格","3","中央値と件数の意味が未説明","出品一覧の件数・中央値が参考値であることを追記"
"v2.6.0","PoE1","機能","装備・Unique・Jewel・Gem・Map・Flaskなど主要カテゴリ対応","はい","各カテゴリ専用の条件生成を継続","一部","アイテムに合わせた検索条件の自動生成","2","全カテゴリ列挙は不要だが対応範囲の目安になる","代表カテゴリを1文で補足"
"v2.6.0","PoE1","機能","完成品／ベースアイテム検索プリセット","はい","アイテム種別に応じた検索方式を選択可能","済","検索プリセット","","",""
"v2.6.0","PoE1","機能","現在条件を日本語公式Tradeへ引き継ぐ","はい","日本語化した検索JSONで公式サイトを開く","済","公式Tradeの出品価格","","",""
"v2.6.0","PoE1","機能","poe.ninja参考価格と7日推移","はい","対応品のみ表示し詳細ページも開ける","済","poe.ninja参考価格と7日推移","","",""
"v2.6.1","PoE1","改善","条件変更後の再検索をAwakened準拠に改善","はい","変更済み状態と再検索操作を現在も提供","一部","検索条件を調整する","3","変更後にどう再検索するかを明示すると迷いにくい","条件変更後の『価格を検索』再実行を追記"
"v2.6.1","PoE1","変更","Unique可変Modのドラッグ式許容範囲バー","いいえ","後続UI刷新でMod数値プルダウンと最小／最大入力欄へ変更","未","","1","現行UIに存在しないため説明不要","追記不要"
"v2.6.1","PoE1","表示","poe.ninja参考価格を数値×通貨アイコンで表示","はい","参考価格欄でアイコン表示を継続","一部","poe.ninja参考価格と7日推移","1","画像で自然に伝わる細部","追記不要"
"v2.6.1","共通","機能","Divine Orb／Chaos Orbレートと換算早見表","はい","本体に現在レートと換算表示を常設","済","共通機能／Divine・Chaos換算レート","","",""
"v2.6.2","共通","機能","画像Cheat sheets","はい","両モード共通で利用可能","済","共通機能／Cheat sheets","","",""
