"リリースノートの版","区分","種別","機能・変更項目","最新版にも存在する機能か否か","現存判定の補足","note下書きに既に説明が含まれているか","note下書きの該当箇所","未記載・一部記載時の説明推奨度_1to5","推奨理由","noteへの追記案"
"v1.3.0","共通","機能","英語版クライアントのエリア検知に対応","はい","日英のClient.txtを判別してガイド・マップ・適正レベルを表示する","一部","共通機能／エリアに合わせて攻略ガイドを自動表示","3","対応言語を明記すると英語クライアント利用者が安心できる","日本語・英語クライアントに対応していることを1文追加"
"v1.3.0","共通","機能","ウィンドウの移動・リサイズをロック","はい","設定からウィンドウロックを切り替え可能","済","共通機能／透過表示・クリックスルー・ウィンドウ固定","","",""
"v1.3.0","共通","表示","半透明背景とドラッグ領域の拡大","はい","背景透過率とウィンドウ移動を現在も利用可能","済","共通機能／透過表示・クリックスルー・ウィンドウ固定","","",""
"v1.3.1","共通","機能","ガイド本文のコピー","いいえ","v2.5.0で公式ガイド編集と合わせて廃止し、エリアメモへ移行","未","","1","現在は存在しないため利用記事への説明は不要","追記不要"
"v1.3.2","共通","設定","背景透過率を設定画面から調整","はい","現在も表示設定として利用可能","済","共通機能／透過表示・クリックスルー・ウィンドウ固定","","",""
"v1.3.3","共通","表示","リサイズ操作・チェックボックス・折りたたみ操作の視認性改善","はい","後続UIにも引き継がれた細かな操作改善","一部","共通機能／必要な部分だけ表示する折りたたみUI","1","利用方法を変える機能ではない","追記不要"
"v1.4.0","共通","機能","Act・区間クリア時のタイマー自動ラップ","はい","PoE1・PoE2それぞれの区間定義で動作","済","共通機能／RTAタイマーと自動ラップ","","",""
"v1.4.1","共通","機能","クリックスルー","はい","ホットキーで背後のゲームへクリックを通す","済","共通機能／透過表示・クリックスルー・ウィンドウ固定","","",""
"v1.5.0","共通","機能","マップレイアウトの自動拡大表示とエリア移動時の自動クローズ","はい","設定で自動拡大を切り替え、エリア移動で前画面を閉じる","一部","共通機能／マップレイアウト画像","4","クリック拡大は説明済みだが自動表示設定は利用者が気づきにくい","自動拡大のON/OFFとエリア移動時の自動クローズを追記"
"v1.5.0","共通","機能","マップ拡大画像を左右クリックで前後切り替え","はい","矢印キーでの切り替えにも対応","済","共通機能／マップレイアウト画像","","",""
"v1.5.0","PoE1","修正","Act 2『恐怖の密林』でAct 7ガイドが出る問題を修正","はい","現行ガイドデータへ修正済み内容を継承","未","","1","個別ガイド修正で使い方の説明には不要","追記不要"
"v1.5.0","共通","設定","表示モニターを選択するマルチモニター対応","はい","起動時モニターと右端配置を設定可能","一部","共通機能／透過表示・クリックスルー・ウィンドウ固定","3","サブモニター利用時の初期設定として役立つ","表示モニターと右端配置の設定場所を追記"
"v1.5.2","共通","機能","タイマーReset時の確認ダイアログ","はい","確認の有無を設定可能","未","","2","誤リセット防止だが基本操作の中心ではない","タイマー説明に確認設定を短く追記"
"v1.5.1","PoE1","修正","Act 1〜5とAct 6〜10の同名エリアを正しく判別","はい","Act進行とzone情報から適切なガイドを表示","一部","共通機能／エリアに合わせて攻略ガイドを自動表示","1","内部判別で操作説明には不要","追記不要"
"v1.5.2","共通","機能","タイマー状態を保存し再起動後に復元","はい","現在もタイマー状態をユーザーデータへ保存","済","共通機能／RTAタイマーと自動ラップ","","",""
"v1.6.0","PoE1","機能","Act 3・Act 8の攻略ルート選択","はい","ガイド・マップ・ジェム取得タイミングを切り替える","済","PoE1限定／Act 3・Act 8のルート選択","","",""
"v1.6.0","共通","機能","フローティングメモ","はい","色付きテキストと自動保存に対応","済","共通機能／ゲーム中メモとエリア別メモ","","",""
"v1.6.0","共通","設定","UI全体の透過率を調整","はい","背景のみ・UI全体の透過設定を利用可能","済","共通機能／透過表示・クリックスルー・ウィンドウ固定","","",""
"v1.6.0","共通","機能","ガイド内セクションの個別折りたたみ","はい","ゾーン情報・ガイド本文・マップ等を個別に折りたためる","済","共通機能／必要な部分だけ表示する折りたたみUI","","",""
"v1.6.2","PoE1","機能","TCP切断によるワンボタン高速ログアウト","はい","管理者権限が必要","済","共通機能／高速ログアウトと /exit","","",""
"v1.6.4","共通","表示","メモウィンドウへ透過率を反映","はい","現在のメモ表示設定へ継承","一部","共通機能／ゲーム中メモとエリア別メモ","1","細かな表示仕様で本文を増やす必要性が低い","追記不要"
"v1.6.4","共通","表示","設定画面をリサイズ可能に変更","はい","現在も通常の設定ダイアログとして利用可能","未","","1","通常操作として説明不要","追記不要"
"v1.6.5","共通","表示","アプリ情報にバージョンを表示","はい","設定のアプリ情報から確認可能","未","","2","問い合わせ時のバージョン確認に使える","トラブルシューティングに確認場所を1文追加"
"v1.6.6","共通","改善","ローカルチャット無効時も基本のエリア検知を継続","はい","エリア入場は検知可能だがボス会話を使う一部進行・自動ラップ・Readyはローカルログが必要","一部","初回設定／ゲーム内のローカルチャットを有効にする","4","何が動き何が動かないかを区別しないと誤解しやすい","エリア検知は動くが一部進行判定にはローカル有効化が必要と明記"
"v1.6.7","共通","修正","PoE再ログイン時に前エリアのガイドが空になる問題を修正","はい","現行のエリア履歴復元処理へ反映","未","","1","過去の不具合修正で説明不要","追記不要"
"v1.6.8","共通","機能","起動時にGitHubの最新版を確認","はい","現在はダウンロード・SHA-256検証・更新・再起動まで対応","済","アップデート方法","","",""
"v1.6.9","共通","設定","Delete／Backspaceでホットキー割り当てを解除","はい","各ホットキー設定で利用可能","済","共通機能／ホットキーは設定画面から変更可能","","",""
"v1.6.9","共通","設定","終了時のウィンドウ位置・サイズを保存／起動時にモニター右端へ配置","はい","保存位置利用と右端配置を選択可能","一部","自分に合う表示へ調整するおすすめ手順","3","起動位置が期待と異なる時の理解に役立つ","位置・サイズ保存と右端配置の選択肢を追記"
"v2.0.0","PoE2","機能","PoE2キャンペーンガイド対応","はい","PoE2ガイド・マップ・タイマー・検索プリセットを提供","済","PoE2モード限定の機能","","",""
"v2.0.0","PoE1","機能","PoBコードから取得すべきジェムを表示","はい","報酬・NPC購入・Lilly購入を区別","済","PoE1限定／PoBインポートとジェム取得リスト","","",""
"v2.1.0","PoE2","機能","店売り・スタッシュ検索文字列支援","はい","PoE1とは別プリセットとして保存","済","PoE2限定／PoE2専用の店売り・スタッシュ検索プリセット","","",""
"v2.1.0","PoE2","内容更新","PoE2ガイドへ公開情報を追記","はい","後続更新を重ねた現行ガイドを収録","済","PoE2モード限定の機能","","",""
